Lead (mg/L),Red Value,Green Value,Blue Value,Orange Intensity,Absorbance
0.000243,103,102,147,352,0.002
0.000244,103,102,147,352,0.002
0.000245,103,102,147,352,0.002
0.000246,103,102,147,352,0.002
0.000247,103,102,147,352,0.002
0.000248,103,102,147,352,0.002
0.000249,103,102,147,352,0.002
0.00025,104,102,147,353,0.002
0.000251,104,103,147,354,0.003
0.000252,104,103,147,354,0.003
0.000253,104,103,147,354,0.003
0.000254,104,103,147,354,0.003
0.000255,104,103,147,354,0.003
0.000256,104,103,147,354,0.003
0.000257,104,103,147,354,0.003
0.000258,104,103,147,354,0.003
0.000259,104,103,147,354,0.003
0.00026,104,103,147,354,0.003
0.000261,104,103,147,354,0.003
0.000262,104,103,147,354,0.003
0.000263,104,103,147,354,0.003
0.000264,104,103,147,354,0.003
0.000265,104,103,147,354,0.003
0.000266,104,103,147,354,0.003
0.000267,104,103,147,354,0.003
0.000268,104,103,147,354,0.003
0.000269,104,103,147,354,0.003
0.00027,104,103,147,354,0.003
0.000271,104,103,147,354,0.003
0.000272,104,103,147,354,0.003
0.000273,104,103,147,354,0.003
0.000274,104,103,147,354,0.003
0.000275,104,103,147,354,0.003
0.000276,104,103,147,354,0.003
0.000277,104,103,147,354,0.003
0.000278,104,103,147,354,0.003
0.000279,104,103,147,354,0.003
0.00028,104,103,147,354,0.003
0.000281,104,103,147,354,0.003
0.000282,104,103,147,354,0.003
0.000283,104,103,147,354,0.003
0.000284,104,103,147,354,0.003
0.000285,104,103,147,354,0.003
0.000286,104,103,147,354,0.003
0.000287,104,103,147,354,0.003
0.000288,104,103,147,354,0.003
0.000289,104,103,147,354,0.003
0.00029,104,103,147,354,0.003
0.000291,104,103,147,354,0.003
0.000292,104,103,147,354,0.003
0.000293,104,103,147,354,0.003
0.000294,104,103,147,354,0.003
0.000295,104,103,147,354,0.003
0.000296,104,103,147,354,0.003
0.000297,104,103,147,354,0.003
0.000298,104,103,147,354,0.003
0.000299,104,103,147,354,0.003
0.0003,104,103,147,354,0.003
0.000301,104,103,147,354,0.003
0.000302,104,103,147,354,0.003
0.000303,104,103,147,354,0.003
0.000304,104,103,147,354,0.003
0.000305,104,103,147,354,0.003
0.000306,104,103,147,354,0.003
0.000307,104,103,147,354,0.003
0.000308,104,103,147,354,0.003
0.000309,104,103,147,354,0.003
0.00031,104,103,147,354,0.003
0.000311,104,103,147,354,0.003
0.000312,104,103,147,354,0.003
0.000313,104,103,147,354,0.003
0.000314,104,103,147,354,0.003
0.000315,104,103,147,354,0.003
0.000316,104,103,147,354,0.003
0.000317,104,103,147,354,0.003
0.000318,104,103,147,354,0.003
0.000319,104,103,146,353,0.003
0.00032,104,103,146,353,0.003
0.000321,104,103,146,353,0.003
0.000322,105,103,146,354,0.003
0.000323,105,103,146,354,0.003
0.000324,105,103,146,354,0.003
0.000325,105,103,146,354,0.003
0.000326,105,103,146,354,0.003
0.000327,105,103,146,354,0.003
0.000328,105,103,146,354,0.003
0.000329,105,103,146,354,0.003
0.00033,105,103,146,354,0.003
0.000331,105,103,146,354,0.003
0.000332,105,103,146,354,0.003
0.000333,105,103,146,354,0.003
0.000334,105,103,146,354,0.003
0.000335,105,103,146,354,0.003
0.000336,105,103,146,354,0.003
0.000337,105,103,146,354,0.003
0.000338,105,103,146,354,0.003
0.000339,105,103,146,354,0.003
0.00034,105,103,146,354,0.003
0.000341,105,103,146,354,0.003
0.000342,105,103,146,354,0.003
0.000343,105,103,146,354,0.003
0.000344,105,103,146,354,0.003
0.000345,105,103,146,354,0.003
0.000346,105,103,146,354,0.003
0.000347,105,103,146,354,0.003
0.000348,105,103,146,354,0.003
0.000349,105,103,146,354,0.003
0.00035,105,104,146,355,0.004
0.000351,105,104,146,355,0.004
0.000352,105,104,146,355,0.004
0.000353,105,104,146,355,0.004
0.000354,105,104,146,355,0.004
0.000355,105,104,146,355,0.004
0.000356,105,104,146,355,0.004
0.000357,105,104,146,355,0.004
0.000358,105,104,146,355,0.004
0.000359,105,104,146,355,0.004
0.00036,105,104,146,355,0.004
0.000361,105,104,146,355,0.004
0.000362,105,104,146,355,0.004
0.000363,105,104,146,355,0.004
0.000364,105,104,146,355,0.004
0.000365,105,104,146,355,0.004
0.000366,105,104,146,355,0.004
0.000367,105,104,146,355,0.004
0.000368,105,104,146,355,0.004
0.000369,105,104,146,355,0.004
0.00037,105,104,146,355,0.004
0.000371,105,104,146,355,0.004
0.000372,105,104,146,355,0.004
0.000373,105,104,146,355,0.004
0.000374,105,104,146,355,0.004
0.000375,105,104,146,355,0.004
0.000376,105,104,146,355,0.004
0.000377,105,104,146,355,0.004
0.000378,105,104,146,355,0.004
0.000379,105,104,146,355,0.004
0.00038,105,104,146,355,0.004
0.000381,105,104,146,355,0.004
0.000382,105,104,146,355,0.004
0.000383,105,104,146,355,0.004
0.000384,105,104,146,355,0.004
0.000385,105,104,146,355,0.004
0.000386,105,104,146,355,0.004
0.000387,105,104,146,355,0.004
0.000388,105,104,146,355,0.004
0.000389,105,104,146,355,0.004
0.00039,105,104,146,355,0.004
0.000391,105,104,146,355,0.004
0.000392,105,104,146,355,0.004
0.000393,106,104,146,356,0.004
0.000394,106,104,146,356,0.004
0.000395,106,104,146,356,0.004
0.000396,106,104,146,356,0.004
0.000397,106,104,146,356,0.004
0.000398,106,104,146,356,0.004
0.000399,106,104,146,356,0.004
0.0004,106,104,146,356,0.004
0.000401,106,104,146,356,0.004
0.000402,106,104,146,356,0.004
0.000403,106,104,146,356,0.004
0.000404,106,104,146,356,0.004
0.000405,106,104,146,356,0.004
0.000406,106,104,146,356,0.004
0.000407,106,104,146,356,0.004
0.000408,106,104,146,356,0.004
0.000409,106,104,146,356,0.004
0.00041,106,104,145,355,0.004
0.000411,106,104,145,355,0.004
0.000412,106,104,145,355,0.004
0.000413,106,104,145,355,0.004
0.000414,106,104,145,355,0.004
0.000415,106,104,145,355,0.004
0.000416,106,104,145,355,0.004
0.000417,106,104,145,355,0.004
0.000418,106,104,145,355,0.004
0.000419,106,104,145,355,0.004
0.00042,106,104,145,355,0.004
0.000421,106,104,145,355,0.004
0.000422,106,104,145,355,0.004
0.000423,106,104,145,355,0.004
0.000424,106,104,145,355,0.004
0.000425,106,104,145,355,0.004
0.000426,106,104,145,355,0.004
0.000427,106,104,145,355,0.004
0.000428,106,104,145,355,0.004
0.000429,106,104,145,355,0.004
0.00043,106,104,145,355,0.004
0.000431,106,104,145,355,0.004
0.000432,106,104,145,355,0.004
0.000433,106,104,145,355,0.004
0.000434,106,104,145,355,0.004
0.000435,106,104,145,355,0.004
0.000436,106,104,145,355,0.004
0.000437,106,104,145,355,0.004
0.000438,106,104,145,355,0.004
0.000439,106,104,145,355,0.004
0.00044,106,104,145,355,0.004
0.000441,106,104,145,355,0.004
0.000442,106,104,145,355,0.004
0.000443,106,104,145,355,0.004
0.000444,106,104,145,355,0.004
0.000445,106,104,145,355,0.004
0.000446,106,104,145,355,0.004
0.000447,106,104,145,355,0.004
0.000448,106,104,145,355,0.004
0.000449,106,104,145,355,0.004
0.00045,106,104,145,355,0.004
0.000451,106,105,145,356,0.005
0.000452,106,105,145,356,0.005
0.000453,106,105,145,356,0.005
0.000454,106,105,145,356,0.005
0.000455,106,105,145,356,0.005
0.000456,106,105,145,356,0.005
0.000457,106,105,145,356,0.005
0.000458,106,105,145,356,0.005
0.000459,106,105,145,356,0.005
0.00046,106,105,145,356,0.005
0.000461,106,105,145,356,0.005
0.000462,106,105,145,356,0.005
0.000463,106,105,145,356,0.005
0.000464,106,105,145,356,0.005
0.000465,107,105,145,357,0.005
0.000466,107,105,145,357,0.005
0.000467,107,105,145,357,0.005
0.000468,107,105,145,357,0.005
0.000469,107,105,145,357,0.005
0.00047,107,105,145,357,0.005
0.000471,107,105,145,357,0.005
0.000472,107,105,145,357,0.005
0.000473,107,105,145,357,0.005
0.000474,107,105,145,357,0.005
0.000475,107,105,145,357,0.005
0.000476,107,105,145,357,0.005
0.000477,107,105,145,357,0.005
0.000478,107,105,145,357,0.005
0.000479,107,105,145,357,0.005
0.00048,107,105,145,357,0.005
0.000481,107,105,145,357,0.005
0.000482,107,105,145,357,0.005
0.000483,107,105,145,357,0.005
0.000484,107,105,145,357,0.005
0.000485,107,105,145,357,0.005
0.000486,107,105,145,357,0.005
0.000487,107,105,145,357,0.005
0.000488,107,105,145,357,0.005
0.000489,107,105,145,357,0.005
0.00049,107,105,145,357,0.005
0.000491,107,105,145,357,0.005
0.000492,107,105,145,357,0.005
0.000493,107,105,145,357,0.005
0.000494,107,105,145,357,0.005
0.000495,107,105,145,357,0.005
0.000496,107,105,145,357,0.005
0.000497,107,105,145,357,0.005
0.000498,107,105,145,357,0.005
0.000499,107,105,145,357,0.005
0.0005,107,105,144,356,0.005
0.000501,107,105,144,356,0.005
0.000502,107,105,144,356,0.005
0.000503,107,105,144,356,0.005
0.000504,107,105,144,356,0.005
0.000505,107,105,144,356,0.005
0.000506,107,105,144,356,0.005
0.000507,107,105,144,356,0.005
0.000508,107,105,144,356,0.005
0.000509,107,105,144,356,0.005
0.00051,107,105,144,356,0.005
0.000511,107,105,144,356,0.005
0.000512,107,105,144,356,0.005
0.000513,107,105,144,356,0.005
0.000514,107,105,144,356,0.005
0.000515,107,105,144,356,0.005
0.000516,107,105,144,356,0.005
0.000517,107,105,144,356,0.005
0.000518,107,105,144,356,0.005
0.000519,107,105,144,356,0.005
0.00052,107,105,144,356,0.005
0.000521,107,105,144,356,0.005
0.000522,107,105,144,356,0.005
0.000523,107,105,144,356,0.005
0.000524,107,105,144,356,0.005
0.000525,107,105,144,356,0.005
0.000526,107,105,144,356,0.005
0.000527,107,105,144,356,0.005
0.000528,107,105,144,356,0.005
0.000529,107,105,144,356,0.005
0.00053,107,105,144,356,0.005
0.000531,107,105,144,356,0.005
0.000532,107,105,144,356,0.005
0.000533,107,105,144,356,0.005
0.000534,107,105,144,356,0.005
0.000535,107,105,144,356,0.005
0.000536,108,105,144,357,0.005
0.000537,108,105,144,357,0.005
0.000538,108,105,144,357,0.005
0.000539,108,105,144,357,0.005
0.00054,108,105,144,357,0.005
0.000541,108,105,144,357,0.005
0.000542,108,105,144,357,0.005
0.000543,108,105,144,357,0.005
0.000544,108,105,144,357,0.005
0.000545,108,105,144,357,0.005
0.000546,108,105,144,357,0.005
0.000547,108,105,144,357,0.005
0.000548,108,105,144,357,0.005
0.000549,108,105,144,357,0.005
0.00055,108,106,144,358,0.006
0.000551,108,106,144,358,0.006
0.000552,108,106,144,358,0.006
0.000553,108,106,144,358,0.006
0.000554,108,106,144,358,0.006
0.000555,108,106,144,358,0.006
0.000556,108,106,144,358,0.006
0.000557,108,106,144,358,0.006
0.000558,108,106,144,358,0.006
0.000559,108,106,144,358,0.006
0.00056,108,106,144,358,0.006
0.000561,108,106,144,358,0.006
0.000562,108,106,144,358,0.006
0.000563,108,106,144,358,0.006
0.000564,108,106,144,358,0.006
0.000565,108,106,144,358,0.006
0.000566,108,106,144,358,0.006
0.000567,108,106,144,358,0.006
0.000568,108,106,144,358,0.006
0.000569,108,106,144,358,0.006
0.00057,108,106,144,358,0.006
0.000571,108,106,144,358,0.006
0.000572,108,106,144,358,0.006
0.000573,108,106,144,358,0.006
0.000574,108,106,144,358,0.006
0.000575,108,106,144,358,0.006
0.000576,108,106,144,358,0.006
0.000577,108,106,144,358,0.006
0.000578,108,106,144,358,0.006
0.000579,108,106,144,358,0.006
0.00058,108,106,144,358,0.006
0.000581,108,106,144,358,0.006
0.000582,108,106,144,358,0.006
0.000583,108,106,144,358,0.006
0.000584,108,106,144,358,0.006
0.000585,108,106,144,358,0.006
0.000586,108,106,144,358,0.006
0.000587,108,106,144,358,0.006
0.000588,108,106,144,358,0.006
0.000589,108,106,144,358,0.006
0.00059,108,106,144,358,0.006
0.000591,108,106,143,357,0.006
0.000592,108,106,143,357,0.006
0.000593,108,106,143,357,0.006
0.000594,108,106,143,357,0.006
0.000595,108,106,143,357,0.006
0.000596,108,106,143,357,0.006
0.000597,108,106,143,357,0.006
0.000598,108,106,143,357,0.006
0.000599,108,106,143,357,0.006
0.0006,108,106,143,357,0.006
0.000601,108,106,143,357,0.006
0.000602,108,106,143,357,0.006
0.000603,108,106,143,357,0.006
0.000604,108,106,143,357,0.006
0.000605,108,106,143,357,0.006
0.000606,108,106,143,357,0.006
0.000607,108,106,143,357,0.006
0.000608,109,106,143,358,0.006
0.000609,109,106,143,358,0.006
0.00061,109,106,143,358,0.006
0.000611,109,106,143,358,0.006
0.000612,109,106,143,358,0.006
0.000613,109,106,143,358,0.006
0.000614,109,106,143,358,0.006
0.000615,109,106,143,358,0.006
0.000616,109,106,143,358,0.006
0.000617,109,106,143,358,0.006
0.000618,109,106,143,358,0.006
0.000619,109,106,143,358,0.006
0.00062,109,106,143,358,0.006
0.000621,109,106,143,358,0.006
0.000622,109,106,143,358,0.006
0.000623,109,106,143,358,0.006
0.000624,109,106,143,358,0.006
0.000625,109,106,143,358,0.006
0.000626,109,106,143,358,0.006
0.000627,109,106,143,358,0.006
0.000628,109,106,143,358,0.006
0.000629,109,106,143,358,0.006
0.00063,109,106,143,358,0.006
0.000631,109,106,143,358,0.006
0.000632,109,106,143,358,0.006
0.000633,109,106,143,358,0.006
0.000634,109,106,143,358,0.006
0.000635,109,106,143,358,0.006
0.000636,109,106,143,358,0.006
0.000637,109,106,143,358,0.006
0.000638,109,106,143,358,0.006
0.000639,109,106,143,358,0.006
0.00064,109,106,143,358,0.006
0.000641,109,106,143,358,0.006
0.000642,109,106,143,358,0.006
0.000643,109,106,143,358,0.006
0.000644,109,106,143,358,0.006
0.000645,109,106,143,358,0.006
0.000646,109,106,143,358,0.006
0.000647,109,106,143,358,0.006
0.000648,109,106,143,358,0.006
0.000649,109,106,143,358,0.006
0.00065,109,106,143,358,0.006
0.000651,109,107,143,359,0.007
0.000652,109,107,143,359,0.007
0.000653,109,107,143,359,0.007
0.000654,109,107,143,359,0.007
0.000655,109,107,143,359,0.007
0.000656,109,107,143,359,0.007
0.000657,109,107,143,359,0.007
0.000658,109,107,143,359,0.007
0.000659,109,107,143,359,0.007
0.00066,109,107,143,359,0.007
0.000661,109,107,143,359,0.007
0.000662,109,107,143,359,0.007
0.000663,109,107,143,359,0.007
0.000664,109,107,143,359,0.007
0.000665,109,107,143,359,0.007
0.000666,109,107,143,359,0.007
0.000667,109,107,143,359,0.007
0.000668,109,107,143,359,0.007
0.000669,109,107,143,359,0.007
0.00067,109,107,143,359,0.007
0.000671,109,107,143,359,0.007
0.000672,109,107,143,359,0.007
0.000673,109,107,143,359,0.007
0.000674,109,107,143,359,0.007
0.000675,109,107,143,359,0.007
0.000676,109,107,143,359,0.007
0.000677,109,107,143,359,0.007
0.000678,109,107,143,359,0.007
0.000679,110,107,143,360,0.007
0.00068,110,107,143,360,0.007
0.000681,110,107,143,360,0.007
0.000682,110,107,142,359,0.007
0.000683,110,107,142,359,0.007
0.000684,110,107,142,359,0.007
0.000685,110,107,142,359,0.007
0.000686,110,107,142,359,0.007
0.000687,110,107,142,359,0.007
0.000688,110,107,142,359,0.007
0.000689,110,107,142,359,0.007
0.00069,110,107,142,359,0.007
0.000691,110,107,142,359,0.007
0.000692,110,107,142,359,0.007
0.000693,110,107,142,359,0.007
0.000694,110,107,142,359,0.007
0.000695,110,107,142,359,0.007
0.000696,110,107,142,359,0.007
0.000697,110,107,142,359,0.007
0.000698,110,107,142,359,0.007
0.000699,110,107,142,359,0.007
0.0007,110,107,142,359,0.007
0.000701,110,107,142,359,0.007
0.000702,110,107,142,359,0.007
0.000703,110,107,142,359,0.007
0.000704,110,107,142,359,0.007
0.000705,110,107,142,359,0.007
0.000706,110,107,142,359,0.007
0.000707,110,107,142,359,0.007
0.000708,110,107,142,359,0.007
0.000709,110,107,142,359,0.007
0.00071,110,107,142,359,0.007
0.000711,110,107,142,359,0.007
0.000712,110,107,142,359,0.007
0.000713,110,107,142,359,0.007
0.000714,110,107,142,359,0.007
0.000715,110,107,142,359,0.007
0.000716,110,107,142,359,0.007
0.000717,110,107,142,359,0.007
0.000718,110,107,142,359,0.007
0.000719,110,107,142,359,0.007
0.00072,110,107,142,359,0.007
0.000721,110,107,142,359,0.007
0.000722,110,107,142,359,0.007
0.000723,110,107,142,359,0.007
0.000724,110,107,142,359,0.007
0.000725,110,107,142,359,0.007
0.000726,110,107,142,359,0.007
0.000727,110,107,142,359,0.007
0.000728,110,107,142,359,0.007
0.000729,110,107,142,359,0.007
0.00073,110,107,142,359,0.007
0.000731,110,107,142,359,0.007
0.000732,110,107,142,359,0.007
0.000733,110,107,142,359,0.007
0.000734,110,107,142,359,0.007
0.000735,110,107,142,359,0.007
0.000736,110,107,142,359,0.007
0.000737,110,107,142,359,0.007
0.000738,110,107,142,359,0.007
0.000739,110,107,142,359,0.007
0.00074,110,107,142,359,0.007
0.000741,110,107,142,359,0.007
0.000742,110,107,142,359,0.007
0.000743,110,107,142,359,0.007
0.000744,110,107,142,359,0.007
0.000745,110,107,142,359,0.007
0.000746,110,107,142,359,0.007
0.000747,110,107,142,359,0.007
0.000748,110,107,142,359,0.007
0.000749,110,107,142,359,0.007
0.00075,110,108,142,360,0.008
0.000751,111,108,142,361,0.008
0.000752,111,108,142,361,0.008
0.000753,111,108,142,361,0.008
0.000754,111,108,142,361,0.008
0.000755,111,108,142,361,0.008
0.000756,111,108,142,361,0.008
0.000757,111,108,142,361,0.008
0.000758,111,108,142,361,0.008
0.000759,111,108,142,361,0.008
0.00076,111,108,142,361,0.008
0.000761,111,108,142,361,0.008
0.000762,111,108,142,361,0.008
0.000763,111,108,142,361,0.008
0.000764,111,108,142,361,0.008
0.000765,111,108,142,361,0.008
0.000766,111,108,142,361,0.008
0.000767,111,108,142,361,0.008
0.000768,111,108,142,361,0.008
0.000769,111,108,142,361,0.008
0.00077,111,108,142,361,0.008
0.000771,111,108,142,361,0.008
0.000772,111,108,142,361,0.008
0.000773,111,108,141,360,0.008
0.000774,111,108,141,360,0.008
0.000775,111,108,141,360,0.008
0.000776,111,108,141,360,0.008
0.000777,111,108,141,360,0.008
0.000778,111,108,141,360,0.008
0.000779,111,108,141,360,0.008
0.00078,111,108,141,360,0.008
0.000781,111,108,141,360,0.008
0.000782,111,108,141,360,0.008
0.000783,111,108,141,360,0.008
0.000784,111,108,141,360,0.008
0.000785,111,108,141,360,0.008
0.000786,111,108,141,360,0.008
0.000787,111,108,141,360,0.008
0.000788,111,108,141,360,0.008
0.000789,111,108,141,360,0.008
0.00079,111,108,141,360,0.008
0.000791,111,108,141,360,0.008
0.000792,111,108,141,360,0.008
0.000793,111,108,141,360,0.008
0.000794,111,108,141,360,0.008
0.000795,111,108,141,360,0.008
0.000796,111,108,141,360,0.008
0.000797,111,108,141,360,0.008
0.000798,111,108,141,360,0.008
0.000799,111,108,141,360,0.008
0.0008,111,108,141,360,0.008
0.000801,111,108,141,360,0.008
0.000802,111,108,141,360,0.008
0.000803,111,108,141,360,0.008
0.000804,111,108,141,360,0.008
0.000805,111,108,141,360,0.008
0.000806,111,108,141,360,0.008
0.000807,111,108,141,360,0.008
0.000808,111,108,141,360,0.008
