Mercury (mg/L),Red Value,Green Value,Blue Value,Orange Intensity,Absorbance
0.000125,93,119,128,340,0.002
0.000126,93,119,128,340,0.003
0.000127,93,119,128,340,0.003
0.000128,93,119,128,340,0.003
0.000129,93,119,128,340,0.003
0.00013,93,119,128,340,0.003
0.000131,93,119,128,340,0.003
0.000132,93,119,128,340,0.003
0.000133,93,119,128,340,0.003
0.000134,93,119,128,340,0.003
0.000135,93,119,128,340,0.003
0.000136,93,119,128,340,0.003
0.000137,93,119,128,340,0.003
0.000138,93,119,128,340,0.003
0.000139,93,119,128,340,0.003
0.00014,93,119,128,340,0.003
0.000141,93,119,128,340,0.003
0.000142,93,119,128,340,0.003
0.000143,93,119,128,340,0.003
0.000144,93,119,128,340,0.003
0.000145,93,119,128,340,0.003
0.000146,93,119,128,340,0.003
0.000147,93,119,128,340,0.003
0.000148,93,119,128,340,0.003
0.000149,93,119,128,340,0.003
0.00015,93,119,128,340,0.003
0.000151,93,119,128,340,0.003
0.000152,93,119,128,340,0.003
0.000153,93,119,128,340,0.003
0.000154,93,119,128,340,0.003
0.000155,93,119,128,340,0.003
0.000156,93,119,128,340,0.003
0.000157,93,119,128,340,0.003
0.000158,93,119,128,340,0.003
0.000159,93,119,128,340,0.003
0.00016,93,119,128,340,0.003
0.000161,93,119,128,340,0.003
0.000162,94,119,128,341,0.003
0.000163,94,119,128,341,0.003
0.000164,94,119,128,341,0.003
0.000165,94,119,128,341,0.003
0.000166,94,119,128,341,0.003
0.000167,94,119,127,340,0.003
0.000168,94,119,127,340,0.003
0.000169,94,119,127,340,0.003
0.00017,94,119,127,340,0.003
0.000171,94,119,127,340,0.003
0.000172,94,119,127,340,0.003
0.000173,94,119,127,340,0.003
0.000174,94,119,127,340,0.003
0.000175,94,119,127,340,0.004
0.000176,94,119,127,340,0.004
0.000177,94,119,127,340,0.004
0.000178,94,119,127,340,0.004
0.000179,94,119,127,340,0.004
0.00018,94,119,127,340,0.004
0.000181,94,118,127,339,0.004
0.000182,94,118,127,339,0.004
0.000183,94,118,127,339,0.004
0.000184,94,118,127,339,0.004
0.000185,94,118,127,339,0.004
0.000186,94,118,127,339,0.004
0.000187,94,118,127,339,0.004
0.000188,94,118,127,339,0.004
0.000189,94,118,127,339,0.004
0.00019,94,118,127,339,0.004
0.000191,94,118,127,339,0.004
0.000192,94,118,127,339,0.004
0.000193,94,118,127,339,0.004
0.000194,94,118,127,339,0.004
0.000195,94,118,127,339,0.004
0.000196,94,118,127,339,0.004
0.000197,94,118,127,339,0.004
0.000198,94,118,127,339,0.004
0.000199,94,118,127,339,0.004
0.0002,94,118,127,339,0.004
0.000201,94,118,127,339,0.004
0.000202,94,118,127,339,0.004
0.000203,94,118,127,339,0.004
0.000204,94,118,127,339,0.004
0.000205,94,118,127,339,0.004
0.000206,94,118,127,339,0.004
0.000207,94,118,127,339,0.004
0.000208,95,118,127,340,0.004
0.000209,95,118,127,340,0.004
0.00021,95,118,127,340,0.004
0.000211,95,118,127,340,0.004
0.000212,95,118,127,340,0.004
0.000213,95,118,127,340,0.004
0.000214,95,118,127,340,0.004
0.000215,95,118,127,340,0.004
0.000216,95,118,127,340,0.004
0.000217,95,118,127,340,0.004
0.000218,95,118,127,340,0.004
0.000219,95,118,127,340,0.004
0.00022,95,118,127,340,0.004
0.000221,95,118,127,340,0.004
0.000222,95,118,127,340,0.004
0.000223,95,118,127,340,0.004
0.000224,95,118,127,340,0.004
0.000225,95,118,127,340,0.004
0.000226,95,118,127,340,0.005
0.000227,95,118,127,340,0.005
0.000228,95,118,127,340,0.005
0.000229,95,118,127,340,0.005
0.00023,95,118,127,340,0.005
0.000231,95,118,127,340,0.005
0.000232,95,118,127,340,0.005
0.000233,95,118,127,340,0.005
0.000234,95,118,126,339,0.005
0.000235,95,118,126,339,0.005
0.000236,95,118,126,339,0.005
0.000237,95,118,126,339,0.005
0.000238,95,118,126,339,0.005
0.000239,95,118,126,339,0.005
0.00024,95,118,126,339,0.005
0.000241,95,118,126,339,0.005
0.000242,95,118,126,339,0.005
0.000243,95,118,126,339,0.005
0.000244,95,118,126,339,0.005
0.000245,95,118,126,339,0.005
0.000246,95,118,126,339,0.005
0.000247,95,118,126,339,0.005
0.000248,95,118,126,339,0.005
0.000249,95,118,126,339,0.005
0.00025,95,118,126,339,0.005
0.000251,95,118,126,339,0.005
0.000252,95,118,126,339,0.005
0.000253,95,118,126,339,0.005
0.000254,96,118,126,340,0.005
0.000255,96,118,126,340,0.005
0.000256,96,118,126,340,0.005
0.000257,96,118,126,340,0.005
0.000258,96,118,126,340,0.005
0.000259,96,118,126,340,0.005
0.00026,96,118,126,340,0.005
0.000261,96,118,126,340,0.005
0.000262,96,118,126,340,0.005
0.000263,96,118,126,340,0.005
0.000264,96,118,126,340,0.005
0.000265,96,118,126,340,0.005
0.000266,96,118,126,340,0.005
0.000267,96,118,126,340,0.005
0.000268,96,118,126,340,0.005
0.000269,96,118,126,340,0.005
0.00027,96,118,126,340,0.005
0.000271,96,118,126,340,0.005
0.000272,96,118,126,340,0.005
0.000273,96,118,126,340,0.005
0.000274,96,118,126,340,0.005
0.000275,96,118,126,340,0.006
0.000276,96,118,126,340,0.006
0.000277,96,118,126,340,0.006
0.000278,96,118,126,340,0.006
0.000279,96,118,126,340,0.006
0.00028,96,118,126,340,0.006
0.000281,96,118,126,340,0.006
0.000282,96,118,126,340,0.006
0.000283,96,118,126,340,0.006
0.000284,96,118,126,340,0.006
0.000285,96,118,126,340,0.006
0.000286,96,118,126,340,0.006
0.000287,96,118,126,340,0.006
0.000288,96,118,126,340,0.006
0.000289,96,118,126,340,0.006
0.00029,96,118,126,340,0.006
0.000291,96,118,126,340,0.006
0.000292,96,118,126,340,0.006
0.000293,96,118,126,340,0.006
0.000294,96,118,126,340,0.006
0.000295,96,118,126,340,0.006
0.000296,96,118,126,340,0.006
0.000297,96,118,126,340,0.006
0.000298,96,118,126,340,0.006
0.000299,96,118,126,340,0.006
0.0003,96,118,126,340,0.006
0.000301,97,117,125,339,0.006
0.000302,97,117,125,339,0.006
0.000303,97,117,125,339,0.006
0.000304,97,117,125,339,0.006
0.000305,97,117,125,339,0.006
0.000306,97,117,125,339,0.006
0.000307,97,117,125,339,0.006
0.000308,97,117,125,339,0.006
0.000309,97,117,125,339,0.006
0.00031,97,117,125,339,0.006
0.000311,97,117,125,339,0.006
0.000312,97,117,125,339,0.006
0.000313,97,117,125,339,0.006
0.000314,97,117,125,339,0.006
0.000315,97,117,125,339,0.006
0.000316,97,117,125,339,0.006
0.000317,97,117,125,339,0.006
0.000318,97,117,125,339,0.006
0.000319,97,117,125,339,0.006
0.00032,97,117,125,339,0.006
0.000321,97,117,125,339,0.006
0.000322,97,117,125,339,0.006
0.000323,97,117,125,339,0.006
0.000324,97,117,125,339,0.006
0.000325,97,117,125,339,0.006
0.000326,97,117,125,339,0.007
0.000327,97,117,125,339,0.007
0.000328,97,117,125,339,0.007
0.000329,97,117,125,339,0.007
0.00033,97,117,125,339,0.007
0.000331,97,117,125,339,0.007
0.000332,97,117,125,339,0.007
0.000333,97,117,125,339,0.007
0.000334,97,117,125,339,0.007
0.000335,97,117,125,339,0.007
0.000336,97,117,125,339,0.007
0.000337,97,117,125,339,0.007
0.000338,97,117,125,339,0.007
0.000339,97,117,125,339,0.007
0.00034,97,117,125,339,0.007
0.000341,97,117,125,339,0.007
0.000342,97,117,125,339,0.007
0.000343,97,117,125,339,0.007
0.000344,97,117,125,339,0.007
0.000345,97,117,125,339,0.007
0.000346,97,117,125,339,0.007
0.000347,98,117,125,340,0.007
0.000348,98,117,125,340,0.007
0.000349,98,117,125,340,0.007
0.00035,98,117,125,340,0.007
0.000351,98,117,125,340,0.007
0.000352,98,117,125,340,0.007
0.000353,98,117,125,340,0.007
0.000354,98,117,125,340,0.007
0.000355,98,117,125,340,0.007
0.000356,98,117,125,340,0.007
0.000357,98,117,125,340,0.007
0.000358,98,117,125,340,0.007
0.000359,98,117,125,340,0.007
0.00036,98,117,125,340,0.007
0.000361,98,117,125,340,0.007
0.000362,98,117,125,340,0.007
0.000363,98,117,125,340,0.007
0.000364,98,117,125,340,0.007
0.000365,98,117,125,340,0.007
0.000366,98,117,125,340,0.007
0.000367,98,117,124,339,0.007
0.000368,98,117,124,339,0.007
0.000369,98,117,124,339,0.007
0.00037,98,117,124,339,0.007
0.000371,98,117,124,339,0.007
0.000372,98,117,124,339,0.007
0.000373,98,117,124,339,0.007
0.000374,98,117,124,339,0.007
0.000375,98,117,124,339,0.008
0.000376,98,117,124,339,0.008
0.000377,98,117,124,339,0.008
0.000378,98,117,124,339,0.008
0.000379,98,117,124,339,0.008
0.00038,98,117,124,339,0.008
0.000381,98,117,124,339,0.008
0.000382,98,117,124,339,0.008
0.000383,98,117,124,339,0.008
0.000384,98,117,124,339,0.008
0.000385,98,117,124,339,0.008
0.000386,98,117,124,339,0.008
0.000387,98,117,124,339,0.008
0.000388,98,117,124,339,0.008
0.000389,98,117,124,339,0.008
0.00039,98,117,124,339,0.008
0.000391,98,117,124,339,0.008
0.000392,98,117,124,339,0.008
0.000393,99,117,124,340,0.008
0.000394,99,117,124,340,0.008
0.000395,99,117,124,340,0.008
0.000396,99,117,124,340,0.008
0.000397,99,117,124,340,0.008
0.000398,99,117,124,340,0.008
0.000399,99,117,124,340,0.008
0.0004,99,117,124,340,0.008
0.000401,99,117,124,340,0.008
0.000402,99,117,124,340,0.008
0.000403,99,117,124,340,0.008
0.000404,99,117,124,340,0.008
0.000405,99,117,124,340,0.008
0.000406,99,117,124,340,0.008
0.000407,99,117,124,340,0.008
0.000408,99,117,124,340,0.008
0.000409,99,117,124,340,0.008
0.00041,99,117,124,340,0.008
0.000411,99,117,124,340,0.008
0.000412,99,117,124,340,0.008
0.000413,99,117,124,340,0.008
0.000414,99,117,124,340,0.008
0.000415,99,117,124,340,0.008
0.000416,99,117,124,340,0.008
0.000417,99,117,124,340,0.008
0.000418,99,117,124,340,0.008
0.000419,99,117,124,340,0.008
0.00042,99,117,124,340,0.008
0.000421,99,116,124,339,0.008
0.000422,99,116,124,339,0.008
0.000423,99,116,124,339,0.008
0.000424,99,116,124,339,0.008
0.000425,99,116,124,339,0.008
0.000426,99,116,124,339,0.009
0.000427,99,116,124,339,0.009
0.000428,99,116,124,339,0.009
0.000429,99,116,124,339,0.009
0.00043,99,116,124,339,0.009
0.000431,99,116,124,339,0.009
0.000432,99,116,124,339,0.009
0.000433,99,116,124,339,0.009
0.000434,99,116,123,338,0.009
0.000435,99,116,123,338,0.009
0.000436,99,116,123,338,0.009
0.000437,99,116,123,338,0.009
0.000438,99,116,123,338,0.009
0.000439,100,116,123,339,0.009
0.00044,100,116,123,339,0.009
0.000441,100,116,123,339,0.009
0.000442,100,116,123,339,0.009
0.000443,100,116,123,339,0.009
0.000444,100,116,123,339,0.009
0.000445,100,116,123,339,0.009
0.000446,100,116,123,339,0.009
0.000447,100,116,123,339,0.009
0.000448,100,116,123,339,0.009
0.000449,100,116,123,339,0.009
0.00045,100,116,123,339,0.009
0.000451,100,116,123,339,0.009
0.000452,100,116,123,339,0.009
0.000453,100,116,123,339,0.009
0.000454,100,116,123,339,0.009
0.000455,100,116,123,339,0.009
0.000456,100,116,123,339,0.009
0.000457,100,116,123,339,0.009
0.000458,100,116,123,339,0.009
0.000459,100,116,123,339,0.009
0.00046,100,116,123,339,0.009
0.000461,100,116,123,339,0.009
0.000462,100,116,123,339,0.009
0.000463,100,116,123,339,0.009
0.000464,100,116,123,339,0.009
0.000465,100,116,123,339,0.009
0.000466,100,116,123,339,0.009
0.000467,100,116,123,339,0.009
0.000468,100,116,123,339,0.009
0.000469,100,116,123,339,0.009
0.00047,100,116,123,339,0.009
0.000471,100,116,123,339,0.009
0.000472,100,116,123,339,0.009
0.000473,100,116,123,339,0.009
0.000474,100,116,123,339,0.009
0.000475,100,116,123,339,0.01
0.000476,100,116,123,339,0.01
0.000477,100,116,123,339,0.01
0.000478,100,116,123,339,0.01
0.000479,100,116,123,339,0.01
0.00048,100,116,123,339,0.01
0.000481,100,116,123,339,0.01
0.000482,100,116,123,339,0.01
0.000483,100,116,123,339,0.01
0.000484,100,116,123,339,0.01
0.000485,101,116,123,340,0.01
0.000486,101,116,123,340,0.01
0.000487,101,116,123,340,0.01
0.000488,101,116,123,340,0.01
0.000489,101,116,123,340,0.01
0.00049,101,116,123,340,0.01
0.000491,101,116,123,340,0.01
0.000492,101,116,123,340,0.01
0.000493,101,116,123,340,0.01
0.000494,101,116,123,340,0.01
0.000495,101,116,123,340,0.01
0.000496,101,116,123,340,0.01
0.000497,101,116,123,340,0.01
0.000498,101,116,123,340,0.01
0.000499,101,116,123,340,0.01
0.0005,101,116,123,340,0.01
0.000501,101,116,122,339,0.01
0.000502,101,116,122,339,0.01
0.000503,101,116,122,339,0.01
0.000504,101,116,122,339,0.01
0.000505,101,116,122,339,0.01
0.000506,101,116,122,339,0.01
0.000507,101,116,122,339,0.01
0.000508,101,116,122,339,0.01
0.000509,101,116,122,339,0.01
0.00051,101,116,122,339,0.01
0.000511,101,116,122,339,0.01
0.000512,101,116,122,339,0.01
0.000513,101,116,122,339,0.01
0.000514,101,116,122,339,0.01
0.000515,101,116,122,339,0.01
0.000516,101,116,122,339,0.01
0.000517,101,116,122,339,0.01
0.000518,101,116,122,339,0.01
0.000519,101,116,122,339,0.01
0.00052,101,116,122,339,0.01
0.000521,101,116,122,339,0.01
0.000522,101,116,122,339,0.01
0.000523,101,116,122,339,0.01
0.000524,101,116,122,339,0.01
0.000525,101,116,122,339,0.01
0.000526,101,116,122,339,0.011
0.000527,101,116,122,339,0.011
0.000528,101,116,122,339,0.011
0.000529,101,116,122,339,0.011
0.00053,101,116,122,339,0.011
0.000531,102,116,122,340,0.011
0.000532,102,116,122,340,0.011
0.000533,102,116,122,340,0.011
0.000534,102,116,122,340,0.011
0.000535,102,116,122,340,0.011
0.000536,102,116,122,340,0.011
0.000537,102,116,122,340,0.011
0.000538,102,116,122,340,0.011
0.000539,102,116,122,340,0.011
0.00054,102,116,122,340,0.011
0.000541,102,115,122,339,0.011
0.000542,102,115,122,339,0.011
0.000543,102,115,122,339,0.011
0.000544,102,115,122,339,0.011
0.000545,102,115,122,339,0.011
0.000546,102,115,122,339,0.011
0.000547,102,115,122,339,0.011
0.000548,102,115,122,339,0.011
0.000549,102,115,122,339,0.011
0.00055,102,115,122,339,0.011
0.000551,102,115,122,339,0.011
0.000552,102,115,122,339,0.011
0.000553,102,115,122,339,0.011
0.000554,102,115,122,339,0.011
0.000555,102,115,122,339,0.011
0.000556,102,115,122,339,0.011
0.000557,102,115,122,339,0.011
0.000558,102,115,122,339,0.011
0.000559,102,115,122,339,0.011
0.00056,102,115,122,339,0.011
0.000561,102,115,122,339,0.011
0.000562,102,115,122,339,0.011
0.000563,102,115,122,339,0.011
0.000564,102,115,122,339,0.011
0.000565,102,115,122,339,0.011
0.000566,102,115,122,339,0.011
0.000567,102,115,121,338,0.011
0.000568,102,115,121,338,0.011
0.000569,102,115,121,338,0.011
0.00057,102,115,121,338,0.011
0.000571,102,115,121,338,0.011
0.000572,102,115,121,338,0.011
0.000573,102,115,121,338,0.011
0.000574,102,115,121,338,0.011
0.000575,102,115,121,338,0.012
0.000576,102,115,121,338,0.012
0.000577,102,115,121,338,0.012
0.000578,103,115,121,339,0.012
0.000579,103,115,121,339,0.012
0.00058,103,115,121,339,0.012
0.000581,103,115,121,339,0.012
0.000582,103,115,121,339,0.012
0.000583,103,115,121,339,0.012
0.000584,103,115,121,339,0.012
0.000585,103,115,121,339,0.012
0.000586,103,115,121,339,0.012
0.000587,103,115,121,339,0.012
0.000588,103,115,121,339,0.012
0.000589,103,115,121,339,0.012
0.00059,103,115,121,339,0.012
0.000591,103,115,121,339,0.012
0.000592,103,115,121,339,0.012
0.000593,103,115,121,339,0.012
0.000594,103,115,121,339,0.012
0.000595,103,115,121,339,0.012
0.000596,103,115,121,339,0.012
0.000597,103,115,121,339,0.012
0.000598,103,115,121,339,0.012
0.000599,103,115,121,339,0.012
0.0006,103,115,121,339,0.012
0.000601,103,115,121,339,0.012
0.000602,103,115,121,339,0.012
0.000603,103,115,121,339,0.012
0.000604,103,115,121,339,0.012
0.000605,103,115,121,339,0.012
0.000606,103,115,121,339,0.012
0.000607,103,115,121,339,0.012
0.000608,103,115,121,339,0.012
0.000609,103,115,121,339,0.012
0.00061,103,115,121,339,0.012
0.000611,103,115,121,339,0.012
0.000612,103,115,121,339,0.012
0.000613,103,115,121,339,0.012
0.000614,103,115,121,339,0.012
0.000615,103,115,121,339,0.012
0.000616,103,115,121,339,0.012
0.000617,103,115,121,339,0.012
0.000618,103,115,121,339,0.012
0.000619,103,115,121,339,0.012
0.00062,103,115,121,339,0.012
0.000621,103,115,121,339,0.012
0.000622,103,115,121,339,0.012
0.000623,103,115,121,339,0.012
0.000624,104,115,121,340,0.012
0.000625,104,115,121,340,0.012
0.000626,104,115,121,340,0.013
0.000627,104,115,121,340,0.013
0.000628,104,115,121,340,0.013
0.000629,104,115,121,340,0.013
0.00063,104,115,121,340,0.013
0.000631,104,115,121,340,0.013
0.000632,104,115,121,340,0.013
0.000633,104,115,121,340,0.013
0.000634,104,115,120,339,0.013
0.000635,104,115,120,339,0.013
0.000636,104,115,120,339,0.013
0.000637,104,115,120,339,0.013
0.000638,104,115,120,339,0.013
0.000639,104,115,120,339,0.013
0.00064,104,115,120,339,0.013
0.000641,104,115,120,339,0.013
0.000642,104,115,120,339,0.013
0.000643,104,115,120,339,0.013
0.000644,104,115,120,339,0.013
0.000645,104,115,120,339,0.013
0.000646,104,115,120,339,0.013
0.000647,104,115,120,339,0.013
0.000648,104,115,120,339,0.013
0.000649,104,115,120,339,0.013
0.00065,104,115,120,339,0.013
0.000651,104,115,120,339,0.013
0.000652,104,115,120,339,0.013
0.000653,104,115,120,339,0.013
0.000654,104,115,120,339,0.013
0.000655,104,115,120,339,0.013
0.000656,104,115,120,339,0.013
0.000657,104,115,120,339,0.013
0.000658,104,115,120,339,0.013
0.000659,104,115,120,339,0.013
0.00066,104,115,120,339,0.013
0.000661,104,114,120,338,0.013
0.000662,104,114,120,338,0.013
0.000663,104,114,120,338,0.013
0.000664,104,114,120,338,0.013
0.000665,104,114,120,338,0.013
0.000666,104,114,120,338,0.013
0.000667,104,114,120,338,0.013
0.000668,104,114,120,338,0.013
0.000669,104,114,120,338,0.013
0.00067,105,114,120,339,0.013
0.000671,105,114,120,339,0.013
0.000672,105,114,120,339,0.013
0.000673,105,114,120,339,0.013
0.000674,105,114,120,339,0.013
0.000675,105,114,120,339,0.013
0.000676,105,114,120,339,0.014
0.000677,105,114,120,339,0.014
0.000678,105,114,120,339,0.014
0.000679,105,114,120,339,0.014
0.00068,105,114,120,339,0.014
0.000681,105,114,120,339,0.014
0.000682,105,114,120,339,0.014
0.000683,105,114,120,339,0.014
0.000684,105,114,120,339,0.014
0.000685,105,114,120,339,0.014
0.000686,105,114,120,339,0.014
0.000687,105,114,120,339,0.014
0.000688,105,114,120,339,0.014
0.000689,105,114,120,339,0.014
0.00069,105,114,120,339,0.014
0.000691,105,114,120,339,0.014
0.000692,105,114,120,339,0.014
0.000693,105,114,120,339,0.014
0.000694,105,114,120,339,0.014
0.000695,105,114,120,339,0.014
0.000696,105,114,120,339,0.014
0.000697,105,114,120,339,0.014
0.000698,105,114,120,339,0.014
0.000699,105,114,120,339,0.014
0.0007,105,114,120,339,0.014
0.000701,105,114,119,338,0.014
0.000702,105,114,119,338,0.014
0.000703,105,114,119,338,0.014
0.000704,105,114,119,338,0.014
0.000705,105,114,119,338,0.014
0.000706,105,114,119,338,0.014
0.000707,105,114,119,338,0.014
0.000708,105,114,119,338,0.014
0.000709,105,114,119,338,0.014
0.00071,105,114,119,338,0.014
0.000711,105,114,119,338,0.014
0.000712,105,114,119,338,0.014
0.000713,105,114,119,338,0.014
0.000714,105,114,119,338,0.014
0.000715,105,114,119,338,0.014
0.000716,106,114,119,339,0.014
0.000717,106,114,119,339,0.014
0.000718,106,114,119,339,0.014
0.000719,106,114,119,339,0.014
0.00072,106,114,119,339,0.014
0.000721,106,114,119,339,0.014
0.000722,106,114,119,339,0.014
0.000723,106,114,119,339,0.014
0.000724,106,114,119,339,0.014
0.000725,106,114,119,339,0.014
0.000726,106,114,119,339,0.015
0.000727,106,114,119,339,0.015
0.000728,106,114,119,339,0.015
0.000729,106,114,119,339,0.015
0.00073,106,114,119,339,0.015
0.000731,106,114,119,339,0.015
0.000732,106,114,119,339,0.015
0.000733,106,114,119,339,0.015
0.000734,106,114,119,339,0.015
0.000735,106,114,119,339,0.015
0.000736,106,114,119,339,0.015
0.000737,106,114,119,339,0.015
0.000738,106,114,119,339,0.015
0.000739,106,114,119,339,0.015
0.00074,106,114,119,339,0.015
0.000741,106,114,119,339,0.015
0.000742,106,114,119,339,0.015
0.000743,106,114,119,339,0.015
0.000744,106,114,119,339,0.015
0.000745,106,114,119,339,0.015
0.000746,106,114,119,339,0.015
0.000747,106,114,119,339,0.015
0.000748,106,114,119,339,0.015
0.000749,106,114,119,339,0.015
0.00075,106,114,119,339,0.015
0.000751,106,114,119,339,0.015
0.000752,106,114,119,339,0.015
0.000753,106,114,119,339,0.015
0.000754,106,114,119,339,0.015
0.000755,106,114,119,339,0.015
0.000756,106,114,119,339,0.015
0.000757,106,114,119,339,0.015
0.000758,106,114,119,339,0.015
0.000759,106,114,119,339,0.015
0.00076,106,114,119,339,0.015
0.000761,106,114,119,339,0.015
0.000762,107,114,119,340,0.015
0.000763,107,114,119,340,0.015
0.000764,107,114,119,340,0.015
0.000765,107,114,119,340,0.015
0.000766,107,114,119,340,0.015
0.000767,107,114,118,339,0.015
0.000768,107,114,118,339,0.015
0.000769,107,114,118,339,0.015
0.00077,107,114,118,339,0.015
0.000771,107,114,118,339,0.015
0.000772,107,114,118,339,0.015
0.000773,107,114,118,339,0.015
0.000774,107,114,118,339,0.015
0.000775,107,114,118,339,0.016
0.000776,107,114,118,339,0.016
0.000777,107,114,118,339,0.016
0.000778,107,114,118,339,0.016
0.000779,107,114,118,339,0.016
0.00078,107,114,118,339,0.016
0.000781,107,113,118,338,0.016
0.000782,107,113,118,338,0.016
0.000783,107,113,118,338,0.016
0.000784,107,113,118,338,0.016
0.000785,107,113,118,338,0.016
0.000786,107,113,118,338,0.016
0.000787,107,113,118,338,0.016
0.000788,107,113,118,338,0.016
0.000789,107,113,118,338,0.016
0.00079,107,113,118,338,0.016
0.000791,107,113,118,338,0.016
0.000792,107,113,118,338,0.016
0.000793,107,113,118,338,0.016
0.000794,107,113,118,338,0.016
0.000795,107,113,118,338,0.016
0.000796,107,113,118,338,0.016
0.000797,107,113,118,338,0.016
0.000798,107,113,118,338,0.016
0.000799,107,113,118,338,0.016
0.0008,107,113,118,338,0.016
0.000801,107,113,118,338,0.016
0.000802,107,113,118,338,0.016
0.000803,107,113,118,338,0.016
0.000804,107,113,118,338,0.016
0.000805,107,113,118,338,0.016
0.000806,107,113,118,338,0.016
0.000807,107,113,118,338,0.016
0.000808,108,113,118,339,0.016
